Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::construct<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>*, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>&&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_ptr()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_addr()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::_M_max_size() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<rp::GameObject*>::~allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<rp::Base*>::allocator(std::allocator<rp::Base*> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<PngChunk*, std::allocator<PngChunk*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_Vector_impl_data&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_valptr()
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >&, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > > >::construct<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >(std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >&, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>*, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>&&)
  0.00      0.00     0.00        4     0.00     0.00  std::enable_if<std::is_constructible<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >::value, std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >, bool> >::type std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)(), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::insert<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>&&)
  0.00      0.00     0.00        4     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)(), true>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>&&)
  0.00      0.00     0.00        4     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>::pair<rp::Base* (*)(), true>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rp::Base* (*&&)())
